ID;" ""lr""";" ""mlbs""";" ""bandwidth""";" ""segment_length""";" ""N""";" ""mos""";" ""sd""";" ""q10th""";" ""q90th""";" ""se""";" ""ci"""
1;0; 0.1; 0.466666666666667; 0.2;9; 4.33333333333333; 0.5;4;5; 0.166666666666667; 0.384334022534028
2;0; 0.1; 0.466666666666667; 0.6;9; 0.333333333333333; 0.5;0;1; 0.166666666666667; 0.384334022534028
3;0; 0.1; 0.466666666666667;1;9; 0.666666666666667; 0.5;0;1; 0.166666666666667; 0.384334022534028
4;0; 0.1; 0.533333333333333; 0.2;9;2; 0.866025403784439;1;3; 0.288675134594813; 0.665686054106258
5;0; 0.1; 0.533333333333333; 0.6;9; 0.111111111111111; 0.333333333333333;0; 0.199999999999999; 0.111111111111111; 0.256222681689352
6;0; 0.1; 0.533333333333333;1;9; 0.111111111111111; 0.333333333333333;0; 0.199999999999999; 0.111111111111111; 0.256222681689352
7;0; 0.1; 0.566666666666667; 0.2;9; 0.666666666666667;1;0;2; 0.333333333333333; 0.768668045068055
8;0; 0.1; 0.566666666666667; 0.6;9; 0.111111111111111; 0.333333333333333;0; 0.199999999999999; 0.111111111111111; 0.256222681689352
9;0; 0.1; 0.566666666666667;1;9;0;0;0;0;0;0
10;0; 0.1; 0.6; 0.2;9; 0.333333333333333; 0.5;0;1; 0.166666666666667; 0.384334022534028
11;0; 0.1; 0.6; 0.6;9;0;0;0;0;0;0
12;0; 0.1; 0.6;1;9;0;0;0;0;0;0
13;0; 0.1; 0.633333333333333; 0.2;9; 0.111111111111111; 0.333333333333333;0; 0.199999999999999; 0.111111111111111; 0.256222681689352
14;0; 0.1; 0.633333333333333; 0.6;9;0;0;0;0;0;0
15;0; 0.1; 0.633333333333333;1;9;0;0;0;0;0;0
16;0; 0.1; 0.666666666666667; 0.2;9; 0.111111111111111; 0.333333333333333;0; 0.199999999999999; 0.111111111111111; 0.256222681689352
17;0; 0.1; 0.666666666666667; 0.6;9;0;0;0;0;0;0
18;0; 0.1; 0.666666666666667;1;9;0;0;0;0;0;0
19;0; 0.1;1; 0.2;9;0;0;0;0;0;0
20;0; 0.1;1; 0.6;9;0;0;0;0;0;0
21;0; 0.1;1;1;9;0;0;0;0;0;0
22;0; 0.6; 0.466666666666667; 0.2;9; 4.33333333333333; 0.5;4;5; 0.166666666666667; 0.384334022534028
23;0; 0.6; 0.466666666666667; 0.6;9; 0.333333333333333; 0.5;0;1; 0.166666666666667; 0.384334022534028
24;0; 0.6; 0.466666666666667;1;9; 0.666666666666667; 0.5;0;1; 0.166666666666667; 0.384334022534028
25;0; 0.6; 0.533333333333333; 0.2;9;2; 0.866025403784439;1;3; 0.288675134594813; 0.665686054106258
