segment_length  buffer_size lr mlbs bandwidth median(buffer_underrruns)
0,2             0,25 0 0,1 0,466666667 4
0,2             0,25 0 0,1 0,533333333 2
0,2             0,25 0 0,1 0,566666667 0
0,2             0,25 0 0,1 0,6 0
0,2             0,25 0 0,1 0,633333333 0
0,2             0,25 0 0,1 0,666666667 0
0,2             0,25 0 0,1 1 0
0,2             0,25 0 0,6 0,466666667 4
0,2             0,25 0 0,6 0,533333333 2
0,2             0,25 0 0,6 0,566666667 0
0,2             0,25 0 0,6 0,6 0
0,2             0,25 0 0,6 0,633333333 0
0,2             0,25 0 0,6 0,666666667 0
0,2             0,25 0 0,6 1 0
0,2             0,25 0 1 0,466666667 4
0,2             0,25 0 1 0,533333333 2
0,2             0,25 0 1 0,566666667 0
0,2             0,25 0 1 0,6 0
0,2             0,25 0 1 0,633333333 0
0,2             0,25 0 1 0,666666667 0
0,2             0,25 0 1 1 0
0,2             0,25 0,015625 0,1 0,466666667 4
0,2             0,25 0,015625 0,1 0,533333333 2
0,2             0,25 0,015625 0,1 0,566666667 0
0,2             0,25 0,015625 0,1 0,6 0
0,2             0,25 0,015625 0,1 0,633333333 0
0,2             0,25 0,015625 0,1 0,666666667 0
0,2             0,25 0,015625 0,1 1 0
0,2             0,25 0,015625 0,6 0,466666667 4
0,2             0,25 0,015625 0,6 0,533333333 2
0,2             0,25 0,015625 0,6 0,566666667 0
0,2             0,25 0,015625 0,6 0,6 0
0,2             0,25 0,015625 0,6 0,633333333 0
0,2             0,25 0,015625 0,6 0,666666667 0
0,2             0,25 0,015625 0,6 1 0
0,2             0,25 0,015625 1 0,466666667 4
0,2             0,25 0,015625 1 0,533333333 2
0,2             0,25 0,015625 1 0,566666667 0
0,2             0,25 0,015625 1 0,6 0
0,2             0,25 0,015625 1 0,633333333 0
0,2             0,25 0,015625 1 0,666666667 0
0,2             0,25 0,015625 1 1 0
0,2             0,25 0,03125 0,1 0,466666667 4
0,2             0,25 0,03125 0,1 0,533333333 2
0,2             0,25 0,03125 0,1 0,566666667 0
0,2             0,25 0,03125 0,1 0,6 0
0,2             0,25 0,03125 0,1 0,633333333 0
0,2             0,25 0,03125 0,1 0,666666667 0
0,2             0,25 0,03125 0,1 1 0
0,2             0,25 0,03125 0,6 0,466666667 4
0,2             0,25 0,03125 0,6 0,533333333 2
0,2             0,25 0,03125 0,6 0,566666667 0
0,2             0,25 0,03125 0,6 0,6 0
0,2             0,25 0,03125 0,6 0,633333333 0
0,2             0,25 0,03125 0,6 0,666666667 0
0,2             0,25 0,03125 0,6 1 0
0,2             0,25 0,03125 1 0,466666667 4
0,2             0,25 0,03125 1 0,533333333 2
0,2             0,25 0,03125 1 0,566666667 0
0,2             0,25 0,03125 1 0,6 0
0,2             0,25 0,03125 1 0,633333333 0
0,2             0,25 0,03125 1 0,666666667 0
0,2             0,25 0,03125 1 1 0
0,2             0,25 0,0625 0,1 0,466666667 4
0,2             0,25 0,0625 0,1 0,533333333 2
0,2             0,25 0,0625 0,1 0,566666667 0
0,2             0,25 0,0625 0,1 0,6 0
0,2             0,25 0,0625 0,1 0,633333333 0
0,2             0,25 0,0625 0,1 0,666666667 0
0,2             0,25 0,0625 0,1 1 0
0,2             0,25 0,0625 0,6 0,466666667 4
0,2             0,25 0,0625 0,6 0,533333333 2
0,2             0,25 0,0625 0,6 0,566666667 0
0,2             0,25 0,0625 0,6 0,6 0
0,2             0,25 0,0625 0,6 0,633333333 0
0,2             0,25 0,0625 0,6 0,666666667 0
0,2             0,25 0,0625 0,6 1 0
0,2             0,25 0,0625 1 0,466666667 4
0,2             0,25 0,0625 1 0,533333333 2
0,2             0,25 0,0625 1 0,566666667 0
0,2             0,25 0,0625 1 0,6 0
0,2             0,25 0,0625 1 0,633333333 0
0,2             0,25 0,0625 1 0,666666667 0
0,2             0,25 0,0625 1 1 0
0,2             0,25 0,125 0,1 0,466666667 4
0,2             0,25 0,125 0,1 0,533333333 2
0,2             0,25 0,125 0,1 0,566666667 1
0,2             0,25 0,125 0,1 0,6 0
0,2             0,25 0,125 0,1 0,633333333 0
0,2             0,25 0,125 0,1 0,666666667 0
0,2             0,25 0,125 0,1 1 0
0,2             0,25 0,125 0,6 0,466666667 4
0,2             0,25 0,125 0,6 0,533333333 2
0,2             0,25 0,125 0,6 0,566666667 0
0,2             0,25 0,125 0,6 0,6 0
0,2             0,25 0,125 0,6 0,633333333 0
0,2             0,25 0,125 0,6 0,666666667 0
0,2             0,25 0,125 0,6 1 0
0,2             0,25 0,125 1 0,466666667 4
0,2             0,25 0,125 1 0,533333333 2
0,2             0,25 0,125 1 0,566666667 0
0,2             0,25 0,125 1 0,6 0
0,2             0,25 0,125 1 0,633333333 0
0,2             0,25 0,125 1 0,666666667 0
0,2             0,25 0,125 1 1 0
0,2             0,25 0,25 0,1 0,466666667 5
0,2             0,25 0,25 0,1 0,533333333 2
0,2             0,25 0,25 0,1 0,566666667 1
0,2             0,25 0,25 0,1 0,6 0
0,2             0,25 0,25 0,1 0,633333333 0
