segment_length;buffer_size;lr;mlbs;bandwidth;count;median(buffer_underrruns);mean(buffer_underrruns);stdev(buffer_underrruns);min(buffer_underrruns);q1(buffer_underrruns);q3(buffer_underrruns);max(buffer_underrruns)
0,2;0,25;0;0,1;0,466666666666667;3;4;4,333;0,577;4;4;5;5
0,2;0,25;0;0,1;0,533333333333333;3;2;2;1;1;1;3;3
0,2;0,25;0;0,1;0,566666666666667;3;0;0,667;1,155;0;0;2;2
0,2;0,25;0;0,1;0,6;3;0;0,333;0,577;0;0;1;1
0,2;0,25;0;0,1;0,633333333333333;3;0;0,333;0,577;0;0;1;1
0,2;0,25;0;0,1;0,666666666666667;3;0;0,333;0,577;0;0;1;1
0,2;0,25;0;0,1;1;3;0;0;0;0;0;0;0
0,2;0,25;0;0,6;0,466666666666667;3;4;4,333;0,577;4;4;5;5
0,2;0,25;0;0,6;0,533333333333333;3;2;2;1;1;1;3;3
0,2;0,25;0;0,6;0,566666666666667;3;0;0,667;1,155;0;0;2;2
0,2;0,25;0;0,6;0,6;3;0;0,333;0,577;0;0;1;1
0,2;0,25;0;0,6;0,633333333333333;3;0;0,333;0,577;0;0;1;1
0,2;0,25;0;0,6;0,666666666666667;3;0;0,333;0,577;0;0;1;1
0,2;0,25;0;0,6;1;3;0;0;0;0;0;0;0
0,2;0,25;0;1;0,466666666666667;3;4;4,333;0,577;4;4;5;5
0,2;0,25;0;1;0,533333333333333;3;2;2;1;1;1;3;3
0,2;0,25;0;1;0,566666666666667;3;0;0,667;1,155;0;0;2;2
0,2;0,25;0;1;0,6;3;0;0,333;0,577;0;0;1;1
0,2;0,25;0;1;0,633333333333333;3;0;0,333;0,577;0;0;1;1
0,2;0,25;0;1;0,666666666666667;3;0;0,333;0,577;0;0;1;1
0,2;0,25;0;1;1;3;0;0;0;0;0;0;0
0,2;0,25;0,015625;0,1;0,466666666666667;3;4;4,333;0,577;4;4;5;5
0,2;0,25;0,015625;0,1;0,533333333333333;3;2;2;1;1;1;3;3
0,2;0,25;0,015625;0,1;0,566666666666667;3;0;0,667;1,155;0;0;2;2
0,2;0,25;0,015625;0,1;0,6;3;0;0,333;0,577;0;0;1;1
0,2;0,25;0,015625;0,1;0,633333333333333;3;0;0,333;0,577;0;0;1;1
0,2;0,25;0,015625;0,1;0,666666666666667;3;0;0,333;0,577;0;0;1;1
0,2;0,25;0,015625;0,1;1;3;0;0;0;0;0;0;0
