id, movie, segment_length, buffer_size, adaptation, representation, max_br, lr, mlbs, delay, jitter, bandwidth, avg_response_t, avg_throughput, buffer_underrruns, stall_time, initial_delay, total_time
001, transformers, 10, 2, False, 2, 0, 0, 50, 0, 0, 8000, 2.33491126696, 7644260, 4, 12.68663764, 2.38106203079, 76.0769250393
002, transformers, 10, 2, False, 2, 0, 9.6, 65, 0, 0, 8000, 2.33604531288, 7640735, 4, 12.7260427475, 2.37836313248, 76.1189701557
003, transformers, 10, 12, False, 2, 0, 0.6, 65, 0, 0, 7000, 2.66954405308, 6684711, 5, 20.2586798668, 2.71489191055, 82.9747080803
004, transformers, 2, 2, False, 2, 0, 9.6, 5, 0, 0, 7000, 4.67970941067, 4026854, 10, 76.4873781204, 4.76443600655, 141.252541065
005, transformers, 2, 8, False, 2, 0, 1.2, 5, 0, 0, 10000, 1.86967421373, 9544953, 0, 0, 1.90804409981, 61.908354044
006, transformers, 2, 4, False, 2, 0, 1.2, 50, 0, 0, 10000, 1.86990423997, 9546844, 1, 3.40055823326, 1.90354084969, 65.3047118187
007, transformers, 6, 2, False, 2, 0, 0.3, 65, 0, 0, 15000, 1.24835719268, 14296792, 0, 0, 1.27277088165, 62.750248909
008, transformers, 6, 2, False, 2, 0, 9.6, 65, 0, 0, 10000, 1.87235226631, 9534066, 1, 4.73379015923, 1.9890267849, 67.9389898777
009, transformers, 6, 4, False, 2, 0, 0, 5, 0, 0, 7000, 2.66850064596, 6687771, 5, 20.2275722027, 2.71940493584, 82.947893858
010, transformers, 2, 4, False, 2, 0, 0, 5, 0, 0, 9000, 2.07620469729, 8595500, 1, 4.10929584503, 2.1175069809, 66.2276220322
011, transformers, 10, 8, False, 2, 0, 0.3, 65, 0, 0, 15000, 1.24826545715, 14296550, 0, 0, 1.27459096909, 62.7468030453
012, transformers, 2, 12, False, 2, 0, 2.4, 5, 0, 0, 8000, 2.33656157653, 7638053, 3, 10.7439007759, 2.38283514977, 73.1270542145
013, transformers, 2, 4, False, 2, 0, 0.6, 5, 0, 0, 8000, 2.33608090878, 7639308, 3, 10.7328078747, 2.37987399101, 73.1135978699
014, transformers, 10, 8, False, 2, 0, 9.6, 5, 0, 0, 9000, 4.84972288609, 4052412, 13, 79.650149107, 7.86559200287, 147.517989159
015, transformers, 10, 2, False, 2, 0, 2.4, 50, 0, 0, 7000, 2.66811682383, 6688380, 5, 20.8129818439, 2.72182106972, 84.4037892818
016, transformers, 2, 12, False, 2, 0, 4.8, 65, 0, 0, 15000, 1.24887363911, 14292457, 0, 0, 1.27409505844, 62.7481849194
017, transformers, 6, 2, False, 2, 0, 2.4, 50, 0, 0, 9000, 2.07636779149, 8595693, 2, 7.17831206322, 2.11659908295, 70.4237730503
018, transformers, 10, 8, False, 2, 0, 2.4, 50, 0, 0, 15000, 1.24894592762, 14286944, 0, 0, 1.27513504028, 62.7474150658
019, transformers, 10, 2, False, 2, 0, 4.8, 65, 0, 0, 10000, 1.86995534102, 9544683, 1, 4.74105501175, 1.90714001656, 67.8593401909
020, transformers, 10, 4, False, 2, 0, 1.2, 5, 0, 0, 8000, 2.33668680986, 7637930, 3, 10.7495720387, 2.37988615036, 73.1300432682
021, transformers, 6, 8, False, 2, 0, 1.2, 50, 0, 0, 15000, 1.24862620831, 14293541, 0, 0, 1.2745859623, 62.7493720055
022, transformers, 6, 2, False, 2, 0, 0.6, 5, 0, 0, 7000, 2.66811904907, 6688812, 5, 20.8347620964, 2.72370100021, 84.4286370277
023, transformers, 2, 2, False, 2, 0, 9.6, 5, 0, 0, 15000, 3.89718350569, 4989538, 9, 55.6870322227, 3.5944621563, 119.283468008
024, transformers, 6, 4, False, 2, 0, 0, 5, 0, 0, 15000, 1.24864354134, 14296580, 0, 0, 1.27535295486, 62.7526009083
025, transformers, 2, 2, False, 2, 0, 19.2, 50, 0, 0, 8000, 2.57555711269, 6987666, 5, 17.4560592175, 2.78903508186, 80.4320297241
026, transformers, 6, 8, False, 2, 0, 4.8, 50, 0, 0, 8000, 2.33522726695, 7642677, 3, 10.7117881775, 2.37691092491, 73.0892579556
027, transformers, 6, 8, False, 2, 0, 0.6, 50, 0, 0, 8000, 2.33556236426, 7641021, 3, 10.7205159664, 2.37945795059, 73.1005580425
028, transformers, 6, 2, False, 2, 0, 19.2, 65, 0, 0, 15000, 1.24876543681, 14292192, 0, 0, 1.27531695366, 62.7476389408
029, transformers, 2, 2, False, 2, 0, 1.2, 5, 0, 0, 9000, 2.0768764178, 8594067, 2, 7.18481469154, 2.11774110794, 70.4265379906
030, transformers, 10, 2, False, 2, 0, 0, 65, 0, 0, 10000, 1.8693262736, 9547443, 1, 4.73293399811, 1.90574097633, 67.8499181271
